                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     26,               0.027372,               0.014029,               0.020304,                      0,                0.85474,                0.31389,                0.33596,                 0.2681,                0.86603,                  0.318,                0.34782,                0.29388,               0.026878,               0.015172,               0.015973,                      0,               0.007525,               0.007525,               0.007525
                     27,               0.026378,               0.014157,               0.020101,                      0,                0.88308,                0.31389,                0.33217,                0.26387,                0.89587,                0.31635,                0.34758,                0.29673,                0.02776,               0.015138,               0.015939,                      0,               0.007426,               0.007426,               0.007426
                     28,               0.027554,               0.014313,               0.019112,                      0,                0.90115,                0.31142,                0.33902,                0.27685,                0.92068,                0.31471,                 0.3516,                0.30817,               0.025894,               0.015151,               0.015125,                      0,               0.007327,               0.007327,               0.007327
                     29,               0.025812,               0.013981,               0.018665,                      0,                0.90231,                0.31882,                0.33889,                0.27183,                0.91394,                0.32293,                0.35302,                0.30669,               0.025834,               0.015396,               0.014918,                      0,               0.007228,               0.007228,               0.007228
                     30,               0.025973,               0.013959,               0.019018,                      0,                0.90643,                0.31471,                0.33668,                0.25616,                0.90528,                0.31389,                0.35132,                 0.2909,               0.027202,               0.015641,               0.015624,                      0,               0.007129,               0.007129,               0.007129
                     31,               0.026461,               0.014644,               0.019362,                      0,                0.90408,                0.31753,                0.33722,                0.26538,                0.93045,                0.31882,                0.35109,                0.31007,               0.027024,               0.014838,               0.015214,                      0,                0.00703,                0.00703,                0.00703
                     32,               0.025729,               0.013745,               0.018489,                      0,                0.88035,                0.31717,                0.33712,                 0.2616,                0.88491,                0.31882,                0.34866,                0.29173,                0.02731,               0.015658,               0.015521,                      0,               0.006931,               0.006931,               0.006931
                     33,               0.024904,               0.014218,               0.019213,                      0,                0.88155,                0.31717,                0.33872,                 0.2735,                0.89041,                  0.318,                0.34981,                0.30578,               0.026085,               0.015985,               0.015963,                      0,               0.006832,               0.006832,               0.006832
                     34,               0.024771,               0.013523,               0.018171,                      0,                0.88342,                  0.318,                0.33799,                0.28512,                0.89255,                0.32128,                0.35353,                0.30407,               0.024632,               0.015229,               0.015177,                      0,               0.006733,               0.006733,               0.006733
                     35,               0.024048,               0.013188,               0.018544,                      0,                0.88216,                0.31371,                0.33825,                0.27714,                0.89109,                  0.318,                0.34941,                 0.3095,               0.024868,               0.015799,               0.015675,                      0,               0.006634,               0.006634,               0.006634
                     36,               0.024455,               0.014005,                0.01815,                      0,                0.91324,                0.31139,                 0.3296,                0.26839,                 0.9332,                0.31306,                0.34606,                0.30397,               0.025986,               0.015972,                0.01616,                      0,               0.006535,               0.006535,               0.006535
                     37,               0.023539,               0.013718,                0.01693,                      0,                0.89257,                0.31553,                0.33345,                0.29284,                0.90187,                0.31882,                0.35298,                0.30775,               0.023057,               0.015916,                0.01516,                      0,               0.006436,               0.006436,               0.006436
                     38,               0.023451,                0.01348,               0.017457,                      0,                0.90045,                 0.3106,                0.33164,                0.27234,                 0.9078,                0.31551,                0.34829,                0.30734,               0.025619,               0.014929,               0.016229,                      0,               0.006337,               0.006337,               0.006337
                     39,               0.024084,               0.013591,               0.018371,                      0,                 0.9188,                0.31389,                0.34241,                0.28106,                0.92129,                0.31471,                0.35722,                0.30476,               0.025494,               0.015305,               0.014746,                      0,               0.006238,               0.006238,               0.006238
                     40,               0.023123,                0.01283,               0.016789,                      0,                  0.919,                 0.3106,                0.33565,                0.27199,                0.90451,                  0.318,                0.35084,                0.30767,               0.025809,               0.015003,               0.015385,                      0,               0.006139,               0.006139,               0.006139
                     41,               0.021486,               0.013361,               0.016771,                      0,                0.90368,                0.31471,                0.33765,                0.29396,                0.91899,                0.31882,                0.35383,                0.31028,               0.024732,               0.014795,               0.015175,                      0,                0.00604,                0.00604,                0.00604
                     42,               0.022424,               0.013838,               0.018367,                      0,                0.89949,                0.31635,                0.33756,                0.28343,                0.89991,                0.31717,                 0.3538,                0.30491,               0.024648,               0.014937,               0.015179,                      0,               0.005941,               0.005941,               0.005941
                     43,               0.022647,               0.013028,               0.017354,                      0,                0.91523,                0.30896,                0.33812,                0.28408,                0.93166,                0.31389,                0.35611,                0.31316,               0.025211,               0.015126,               0.015272,                      0,               0.005842,               0.005842,               0.005842
                     44,               0.022795,               0.013272,               0.016375,                      0,                0.89757,                0.31717,                0.33852,                0.27598,                0.91907,                0.32128,                0.35765,                 0.3032,               0.025764,               0.014611,               0.014708,                      0,               0.005743,               0.005743,               0.005743
                     45,               0.021881,               0.012451,               0.016018,                      0,                0.92819,                0.31306,                0.34045,                0.29042,                0.93793,                0.31635,                0.35723,                0.31433,               0.023209,               0.014983,                0.01442,                      0,               0.005644,               0.005644,               0.005644
                     46,               0.022061,               0.012812,               0.016643,                      0,                0.93785,                0.30996,                0.34026,                 0.2902,                0.95028,                0.31407,                0.35714,                0.31459,               0.022809,               0.014932,               0.014594,                      0,               0.005545,               0.005545,               0.005545
                     47,               0.021825,               0.012814,               0.015761,                      0,                0.88906,                0.30813,                0.33095,                0.28561,                0.89115,                0.31617,                0.35151,                0.30864,               0.023559,               0.014527,               0.015843,                      0,               0.005446,               0.005446,               0.005446
                     48,               0.020864,               0.012406,               0.015436,                      0,                0.90753,                0.31224,                0.33797,                0.29736,                0.92894,                0.31717,                0.35824,                0.31093,               0.022883,               0.014843,               0.015245,                      0,               0.005347,               0.005347,               0.005347
                     49,               0.020984,               0.012614,               0.015599,                      0,                0.88397,                0.31927,                0.34377,                0.29712,                0.89668,                0.32089,                0.35893,                0.31456,               0.023246,               0.015173,               0.014457,                      0,               0.005248,               0.005248,               0.005248
